
api-1  | 2026-06-06 22:50:51,673 INFO httpx: HTTP Request: POST http://cdn1.obedtv.live:2023/rtc/v1/whep/?app=live&stream=vodapple "HTTP/1.1 201 Created"
db-1   | 2026-06-06 14:15:30.098 UTC [55] LOG:  checkpoint complete: wrote 28 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.652 s, sync=0.025 s, total=2.829 s; sync files=9, longest=0.018 s, average=0.003 s; distance=196 kB, estimate=207 kB; lsn=0/3D82E88, redo lsn=0/3D82E50
db-1   | 2026-06-06 14:20:27.198 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:20:30.214 UTC [55] LOG:  checkpoint complete: wrote 30 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.931 s, sync=0.026 s, total=3.017 s; sync files=9, longest=0.020 s, average=0.003 s; distance=188 kB, estimate=205 kB; lsn=0/3DB2278, redo lsn=0/3DB2240
db-1   | 2026-06-06 14:25:27.283 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:25:30.107 UTC [55] LOG:  checkpoint complete: wrote 28 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.734 s, sync=0.027 s, total=2.825 s; sync files=9, longest=0.022 s, average=0.003 s; distance=194 kB, estimate=204 kB; lsn=0/3DEB1F0, redo lsn=0/3DE2DE0
db-1   | 2026-06-06 14:30:27.171 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:30:29.798 UTC [55] LOG:  checkpoint complete: wrote 26 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.519 s, sync=0.029 s, total=2.627 s; sync files=9, longest=0.026 s, average=0.004 s; distance=174 kB, estimate=201 kB; lsn=0/3E14940, redo lsn=0/3E0E860
db-1   | 2026-06-06 14:35:27.898 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:35:30.422 UTC [55] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.437 s, sync=0.021 s, total=2.524 s; sync files=9, longest=0.013 s, average=0.003 s; distance=157 kB, estimate=197 kB; lsn=0/3E35F00, redo lsn=0/3E35EC8
db-1   | 2026-06-06 14:40:27.522 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:40:29.721 UTC [55] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.119 s, sync=0.024 s, total=2.199 s; sync files=9, longest=0.022 s, average=0.003 s; distance=149 kB, estimate=192 kB; lsn=0/3E64578, redo lsn=0/3E5B580
db-1   | 2026-06-06 14:45:27.811 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:45:30.315 UTC [55] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.418 s, sync=0.025 s, total=2.504 s; sync files=9, longest=0.024 s, average=0.003 s; distance=178 kB, estimate=191 kB; lsn=0/3E90908, redo lsn=0/3E880B0
db-1   | 2026-06-06 14:50:27.379 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:50:30.387 UTC [55] LOG:  checkpoint complete: wrote 30 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.919 s, sync=0.023 s, total=3.008 s; sync files=9, longest=0.023 s, average=0.003 s; distance=184 kB, estimate=190 kB; lsn=0/3EBFF70, redo lsn=0/3EB6248
db-1   | 2026-06-06 14:55:27.443 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:55:29.759 UTC [55] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.231 s, sync=0.022 s, total=2.317 s; sync files=9, longest=0.016 s, average=0.003 s; distance=163 kB, estimate=187 kB; lsn=0/3EDF050, redo lsn=0/3EDF018
db-1   | 2026-06-06 15:00:27.799 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 15:00:46.263 UTC [55] LOG:  checkpoint complete: wrote 184 buffers (1.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=18.368 s, sync=0.025 s, total=18.464 s; sync files=10, longest=0.020 s, average=0.003 s; distance=188 kB, estimate=188 kB; lsn=0/3F18520, redo lsn=0/3F0E220
db-1   | 2026-06-06 15:05:27.363 UTC [55] LOG:  checkpoint starting: time
